cond,enabled,goal,mode,reason,success,t_ms,target,total_s,trial,type
C4_multimodal,,A1,A,,,1765723051725,,,14,trial_start
,True,,,,,1765723055988,,,,stt_toggle
,False,,,,,1765723056517,,,,stt_toggle
,True,,,,,1765723056753,,,,stt_toggle
,False,,,,,1765723057012,,,,stt_toggle
,True,,,,,1765723057633,,,,stt_toggle
,False,,,,,1765723059068,,,,stt_toggle
,,,,,,1765723059473,C2,,,hover
,,,,,,1765723059524,C1,,,hover
,,,,,,1765723059552,B1,,,hover
,,,,,,1765723059852,A1,,,hover
,,,,,,1765723060022,B1,,,hover
,,,,,,1765723060171,C1,,,hover
,,,,,,1765723060417,C2,,,hover
,,,,,,1765723060487,C3,,,hover
,,,,,,1765723060695,B3,,,hover
,,,,,,1765723060874,B2,,,hover
,,,,,,1765723061162,B1,,,hover
,,,,,,1765723061252,A1,,,hover
,,,,,,1765723061475,A2,,,hover
,,,,,,1765723067782,B2,,,hover
,,,,,,1765723067983,C2,,,hover
,,,,,,1765723068143,C3,,,hover
,,,,,,1765723068174,None,,,hover
,True,,,,,1765723068674,,,,stt_toggle
,,,,manual_stop,False,1765723068692,,16.967,14,trial_end
