cond,goal,mode,reason,success,t_ms,target,total_s,trial,type
C4_multimodal,C2,A,,,1765723980247,,,5,trial_start
,,,,,1765723980259,C2,,,hover
,,,,,1765723980272,B1,,,hover
,,,,,1765723980310,A1,,,hover
C4_multimodal,,,,,1765723980453,,,,click_ignored
,,,,,1765723980673,B1,,,hover
,,,,,1765723980700,B2,,,hover
,,,,,1765723980712,C2,,,hover
C4_multimodal,,,,,1765723980754,,,,click_ignored
C4_multimodal,,,,,1765723980898,,,,click_ignored
C4_multimodal,,,,,1765723981036,,,,click_ignored
C4_multimodal,,,,,1765723981151,,,,click_ignored
C4_multimodal,,,,,1765723981256,,,,click_ignored
C4_multimodal,,,,,1765723981414,,,,click_ignored
C4_multimodal,,,,,1765723981510,,,,click_ignored
C4_multimodal,,,,,1765723981610,,,,click_ignored
C4_multimodal,,,,,1765723981740,,,,click_ignored
C4_multimodal,,,,,1765723981880,,,,click_ignored
C4_multimodal,,,,,1765723982020,,,,click_ignored
,,,,,1765723982206,None,,,hover
,,,,,1765723983356,C1,,,hover
,,,,,1765723983390,B1,,,hover
,,,,,1765723983439,A1,,,hover
,,,,,1765723983483,B1,,,hover
,,,manual_stop,False,1765723983598,,3.351,5,trial_end
