reason,say,success,t_ms,target,then,total_s,trial,type
,,,1765797173421,,,,1,trial_start
,메모장 실행,,1765797173428,,gaze left yes / right no,,,instruction
,,,1765797174094,no,,,,hover
,,,1765797174338,None,,,,hover
,,,1765797174346,yes,,,,hover
,,,1765797174881,None,,,,hover
,,,1765797174893,no,,,,hover
,,,1765797175288,None,,,,hover
,,,1765797175300,yes,,,,hover
,,,1765797175644,None,,,,hover
,,,1765797175656,no,,,,hover
,,,1765797175791,None,,,,hover
,,,1765797176806,no,,,,hover
,,,1765797177073,None,,,,hover
,,,1765797177103,yes,,,,hover
manual_stop,,False,1765797177620,,,4.199,1,trial_end
